SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
1,07-Nov-13,06-Nov-14,5,1201,190548.3,2434.07,5000029736,1991,4,,Automobile,1796,BMW,Private,
1,07-Nov-12,06-Nov-13,5,1201,190548.3,2450.24,5000029736,1991,4,,Automobile,1796,BMW,Private,
1,26-Oct-11,25-Oct-12,5,1201,190548.3,2400.6,5000029736,1991,4,,Automobile,1796,BMW,Private,
0,08-Aug-13,07-Aug-14,7,1201,317794.96,4788.69,5000031192,2009,8,,Station Wagones,2986,TOYOTA,Private,
0,08-Aug-12,07-Aug-13,7,1201,317794.96,4788.69,5000031192,2009,8,,Station Wagones,2986,TOYOTA,Private,46827.16
0,08-Aug-11,07-Aug-12,7,1201,317794.96,4651.793,5000031192,2009,8,,Station Wagones,2986,TOYOTA,Private,
0,08-Jul-11,07-Aug-11,7,1201,317794.96,205.46,5000031192,2009,8,,Station Wagones,2986,TOYOTA,Private,
0,10-Jul-13,09-Jul-14,97,1202,169000,8842.04,5000031495,1983,1,450,Truck,11520,FIAT,General Cartage,
0,08-Jul-12,07-Jul-13,97,1202,169000,9081.61,5000031495,1983,1,450,Truck,11520,FIAT,General Cartage,
0,08-Jul-11,07-Jul-12,97,1202,200000,8570.083,5000031495,1983,1,450,Truck,11520,FIAT,General Cartage,
0,26-Sep-13,25-Sep-14,97,1202,395398,5653.15,5000031498,2002,4,7,Pick-up,2779,TOYOTA,Own Goods,
0,16-Oct-12,15-Oct-13,97,1202,395398,5653.15,5000031498,2002,4,7,Pick-up,2779,TOYOTA,Own Goods,
0,08-Jul-11,07-Jul-12,97,1202,395398,3959.189,5000031498,2002,4,7,Pick-up,2779,TOYOTA,Own Goods,
0,26-Sep-13,25-Sep-14,97,1202,395398,5653.15,5000031499,2002,4,7,Pick-up,2799,TOYOTA,Own Goods,
0,16-Oct-12,15-Oct-13,97,1202,395398,5658.15,5000031499,2002,4,7,Pick-up,2799,TOYOTA,Own Goods,
0,08-Jul-11,07-Jul-12,97,1202,395398,3959.189,5000031499,2002,4,7,Pick-up,2799,TOYOTA,Own Goods,
0,10-Jun-12,09-Jun-13,12,1202,352000,6242.19,5000031911,2008,0,399,Trailers and semitrailers,0,TRAILER,General Cartage,
0,10-Jun-12,09-Jun-13,12,1202,686000,16069.98,5000031915,2008,1,160,Truck,9726,SINO,General Cartage,41514.86
2,13-Dec-13,12-Dec-14,96,1201,101361,1535.37,5000032064,1995,4,,Automobile,1295,TOYOTA,Private,
2,13-Dec-12,12-Dec-13,96,1201,101361,1469.47,5000032064,1995,4,,Automobile,1295,TOYOTA,Private,
2,13-Dec-11,12-Dec-12,96,1201,101361,1423.09,5000032064,1995,4,,Automobile,1295,TOYOTA,Private,
0,08-Jul-11,07-Jul-12,94,1202,91883.83,3572.531,5000032091,1982,4,7,Pick-up,3000,MITSUBISHI,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,20000,2789.881,5000032094,1982,4,7,Pick-up,3000,MITSUBISHI,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,80000,1386.57,5000032102,1982,0,153,Trailers and semitrailers,0,FARID,Own Goods,
0,08-Jul-12,07-Jul-13,94,1202,75000,4037.91,5000032110,2004,2,10,Pick-up,2779,TOYOTA,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,30000,3282.761,5000032110,2004,2,10,Pick-up,2779,TOYOTA,Own Goods,
0,08-Jul-13,07-Jul-14,94,1202,406086,8387.7,5000032112,2008,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-12,07-Jul-13,94,1202,406086,8518.74,5000032112,2008,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,406086,8829.801,5000032112,2008,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-13,07-Jul-14,94,1202,240000,6744.17,5000032114,2007,1,35,Truck,4334,ISUSU,Own Goods,
0,08-Jul-12,07-Jul-13,94,1202,240000,6858.42,5000032114,2007,1,35,Truck,4334,ISUSU,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,227578.36,6452.416,5000032114,2007,1,35,Truck,4334,ISUSU,Own Goods,
1,28-Jul-13,27-Jul-14,5,1201,140000,1849.35,5000032208,1986,4,,Automobile,1600,TOYOTA,Private,113727.5
1,28-Jul-12,27-Jul-13,5,1201,140000,1979.4,5000032208,1986,4,,Automobile,1600,TOYOTA,Private,
1,28-Jul-11,27-Jul-12,5,1201,140000,1650.52,5000032208,1986,4,,Automobile,1600,TOYOTA,Private,
1,23-Jul-11,22-Jul-12,10,1201,0,771.43,5000032246,1976,4,,Automobile,1570,MERCEEDICE,Private,
0,01-Jan-12,31-Dec-12,94,1202,0,1846.8,5000032133,2008,0,153,Truck,0,HOWO,Own Goods,
0,22-Jul-11,21-Jul-12,11,1202,850000,7388.4,5000032133,2008,0,153,Truck,0,HOWO,Own Goods,
0,01-Jan-12,31-Dec-12,94,1202,0,1846.8,5000032136,2008,0,153,Truck,0,HOWO,Own Goods,
0,22-Jul-11,21-Jul-12,11,1202,850000,6921.94,5000032136,2008,0,153,Truck,0,HOWO,Own Goods,
0,27-Nov-13,26-Nov-14,9,1201,250000,4912.2,5000032257,1991,5,,Automobile,1295,TOYOTA,Private,
0,21-Jul-12,20-Jul-13,9,1201,250000,4969.4,5000032257,1991,5,,Automobile,1295,TOYOTA,Private,
0,21-Jul-11,20-Jul-12,9,1201,250000,5253.8,5000032257,1991,5,,Automobile,1295,TOYOTA,Private,
1,26-Jul-13,25-Jul-14,9,1201,140000,4140.55,5000032263,1985,4,,Automobile,1295,TOYOTA,Private,
1,24-Jul-12,23-Jul-13,9,1201,140000,4634.93,5000032263,1985,4,,Automobile,1295,TOYOTA,Private,
1,24-Jul-11,23-Jul-12,9,1201,55000,1632.1,5000032263,1985,4,,Automobile,1295,TOYOTA,Private,1725
